clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
AS Saint-Étienne,France,Ligue 2,Stade Geoffroy-Guichard,Point(4.390171 45.460749),https://www.asse.fr/
A.S. Nancy-Lorraine,France,Championnat National,Stade Marcel Picot,Point(6.21222 48.696),http://www.asnl.net/
AFC Bournemouth,United Kingdom,Premier League,Dean Court,Point(-1.838333 50.735278),https://www.afcb.co.uk/
Brentford F.C.,United Kingdom,Premier League,Griffin Park,Point(-0.302639 51.488167),https://www.brentfordfc.com/
Bury F.C.,United Kingdom,EFL League One,Gigg Lane,Point(-2.294722222 53.580555555),https://www.buryfc.co.uk/
Carlisle United F.C.,United Kingdom,EFL League Two,Brunton Park,Point(-2.91365 54.89556),https://www.carlisleunited.co.uk/
Colchester United F.C.,United Kingdom,EFL League One,Colchester Community Stadium,Point(0.897703 51.9234),https://www.colchesterunited.net/
Coventry City F.C.,United Kingdom,EFL Championship,Ricoh Arena,Point(-1.495556 52.448056),https://www.ccfc.co.uk/
Crawley Town F.C.,United Kingdom,EFL League One,The Peoples Pension Stadium,Point(-0.194767 51.099706),https://www.crawleytownfc.com/
R. Charleroi S.C.,Belgium,Belgian First Division A,Stade du Pays de Charleroi,Point(4.453787 50.414609),http://www.sporting-charleroi.be/
Crewe Alexandra F.C.,United Kingdom,EFL League Two,Alexandra Stadium,Point(-2.435747 53.087419),https://www.crewealex.net/
Doncaster Rovers F.C.,United Kingdom,EFL League One,Keepmoat Stadium,Point(-1.113889 53.509722),https://www.doncasterroversfc.co.uk/
Hartlepool United F.C.,United Kingdom,EFL League Two,Victoria Park,Point(-1.212722 54.689139),https://www.hartlepoolunited.co.uk/
Celtic F.C.,United Kingdom,Scottish Premiership,Celtic Park,Point(-4.205588888 55.849711111),https://www.celticfc.com
Celtic F.C.,United Kingdom,Scottish Premiership,Celtic Park,Point(-4.205588888 55.849711111),https://www.celticfc.com/japanese-section
Celtic F.C.,United Kingdom,Scottish Premiership,Celtic Park,Point(-4.2013 55.8499),https://www.celticfc.com
