clubLabel,countryLabel,leagueLabel,logoImage,venueLabel,coordinates,website
San Martín de Mendoza,Argentina,Torneo Argentino Β,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20Atl%C3%A9tico%20Club%20San%20Mart%C3%ADn.gif,Estadio San Martín,Point(-68.4817654 -33.0792933),http://www.acsanmartin.com.ar/
Club Sporting Cristal,Peru,Peruvian Primera División,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Sporting%20Cristal%20%28version%202018%29.svg,Estadio Alberto Gallardo,Point(-77.045 -12.038),https://www.clubsportingcristal.pe/
Club Sol de América,Paraguay,Paraguayan División Intermedia,http://commons.wikimedia.org/wiki/Special:FilePath/Sol%20de%20america%20escudo.png,Estadio Luis Alfonso Giagni,Point(-57.584933 -25.367568),http://soldeamerica.com.py/
Hyères FC,France,Championnat National 2,http://commons.wikimedia.org/wiki/Special:FilePath/Hy%C3%A8res%20FC.jpg,Stade Perruc,Point(6.14186 43.12024),http://www.hyeresfootballclub.footeo.com
Yeedzin FC,Bhutan,A-Division,http://commons.wikimedia.org/wiki/Special:FilePath/Yeedzinfclogo.jpg,Changlimithang Stadium,Point(89.641056 27.471417),http://yeedzinfootballclub.blogspot.co.uk
Olimpia Elbląg,Poland,II liga,http://commons.wikimedia.org/wiki/Special:FilePath/Zks-olimpia-elblag.png,City Stadium Elbląg,Point(19.42111111 54.16583333),http://www.olimpia.elblag.com.pl
Sportfreunde Siegen,Germany,Regionalliga West,http://commons.wikimedia.org/wiki/Special:FilePath/Sportfreunde%20Signet%20rot%20mit%20outline.png,Leimbachstadion,Point(8.026111 50.852222),http://www.sportfreunde-siegen.info/
Cúcuta Deportivo,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20C%C3%BAcuta%20Deportivo.svg,General Santander,Point(-72.501717 7.894478),http://www.cucutadeportivo.com.co/
Nacional Esporte Clube,Brazil,Campeonato Mineiro,http://commons.wikimedia.org/wiki/Special:FilePath/Nacional%20EC%20-%20MG.svg,Arena do Jacaré,Point(-44.222022 -19.478794),http://www.nacionalesporte.com.br
Racing hijo de fenix,Uruguay,Uruguayan Primera División,http://commons.wikimedia.org/wiki/Special:FilePath/Racing%20Club%20Escudo.png,Estadio Osvaldo Roberto,Point(-56.216569 -34.836633),https://racingclub.com.uy/
Independiente Santa Fe,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Independiente%20Santa%20Fe.svg,Estadio El Campín,Point(-74.0775 4.645888888),https://independientesantafe.com
Chiapas F.C.,Mexico,Liga de Ascenso,http://commons.wikimedia.org/wiki/Special:FilePath/Jaguares%20de%20Chiapas%20flag.svg,Estadio Víctor Manuel Reyna,Point(-93.096369 16.762783),http://www.chiapasfc.com/
US Raon-l'Étape,France,Championnat National 2,http://commons.wikimedia.org/wiki/Special:FilePath/US%20Raon.png,Q925932,Point(6.82942 48.4165),http://us.raon.free.fr/
Follo FK,Norway,Norwegian Third Division,http://commons.wikimedia.org/wiki/Special:FilePath/Follo%20FK.svg,Ski Stadion,Point(10.850768 59.718537),http://www.follofk.no/
FK Fotbal Třinec,Czech Republic,Czech 2. Liga,http://commons.wikimedia.org/wiki/Special:FilePath/FK%20T%C5%99inec%20logo.svg,Stadion Rudolfa Labaje,Point(18.66784 49.6686),https://www.fotbaltrinec.cz/
