,club,country,league,venue,coordinates,website,logoImage
2612,Yaracuyanos FC,Venezuela,liga de calabozo,Estadio Florentino Oropeza,-68.756167 10.333,http://www.yaracuyanos.com/,
2613,Kartal S.K.,Turkey,TFF First League,Q574897,29.191017 40.892014,http://www.kartalspor.org,
2614,Mezőkövesd-Zsóry SE,Hungary,Nemzeti Bajnokság I,Mezőkövesdi Városi Stadion,20.5673 47.8023,https://mezokovesdzsory.hu/,
2615,Mqabba F.C.,Malta,Maltese First Division,Ta' Qali National Stadium,14.415372222 35.894863888,http://www.mqabbafc.com,
2616,De Abasin Sape F.C.,Afghanistan,Afghan Premier League 2023-2024,Afghanistan Football Federation Stadium,69.196667 34.52,http://www.afghanpremierleague.com/teams/de-abasin-sape/,
2617,De Maiwand Atalan F.C.,Afghanistan,Afghan Premier League 2023-2024,Afghanistan Football Federation Stadium,69.196667 34.52,http://www.afghanpremierleague.com/teams/de-maiwand-atalan/,
2618,De Spin Ghar Bazan F.C.,Afghanistan,Afghan Premier League 2023-2024,Afghanistan Football Federation Stadium,69.196667 34.52,http://www.afghanpremierleague.com/teams/de-spinghar-bazan/,
2619,BBCU F.C.,Thailand,Thai League 1,Chulalongkorn University Stadium,100.525833 13.7375,http://bbcu.mthai.com/,
2620,HKFC Soccer Section,People's Republic of China,Hong Kong First Division,Hong Kong Football Club Stadium,114.182 22.2744,https://www.hkfc.com.hk/sports/soccer-section,
2621,Samut Songkhram F.C.,Thailand,Thai League 2,Samut Songkhram Stadium,99.999865 13.41425,http://scgsamutsongkhramfc.com/,
2622,Dreams Metro Gallery FC,Japan,Hong Kong First Division League,Siu Sai Wan Sports Ground,114.249063 22.267434,http://www.yfcmd.com/en/,
2623,Global Cebu F.C.,Philippines,Philippines Football League,Cebu City Sports Complex,123.89528333 10.30042222,http://globalfc.ph/,
2624,UP Langreo,Spain,Segunda Federación,Estadio Ganzábal,-5.68984167 43.30197222,http://www.uplangreo.com/,
2625,Deportivo Anzoátegui,Venezuela,Venezuelan Primera División,Estadio José Antonio Anzoátegui,-64.656117 10.180083,http://deportivoanzoateguisc.com/,
2626,Deportivo Español,Argentina,Primera C Argentina,Estadio Nueva España,-58.46453889 -34.65792222,http://www.cde.com.ar/,http://commons.wikimedia.org/wiki/Special:FilePath/Logotipo%20Oficial%20y%20Escudo%20del%20Club%20Deportivo%20Espanol.svg
2627,Club Deportivo Municipal,Peru,Copa Perú,Estadio Iván Elías Moreno,-76.9349 -12.2201,http://www.echamuni.net/,http://commons.wikimedia.org/wiki/Special:FilePath/CCDMunicipal.png
2628,Fatih Karagümrük S.K.,Turkey,Turkish Süper Lig,Vefa Stadium,28.939 41.0278,http://www.karagumruk.com/,
2629,Pärnu Linnameeskond,Estonia,Esiliiga,Pärnu Rannastaadion,24.503461 58.374672,http://www.vaprus.ee/,
2630,Clube Ferroviário de Maputo,Mozambique,Moçambola,Estádio da Machava,32.526278 -25.917417,http://www.fermaputo.co.mz/,
2631,U.S. Gavorrano,Italy,Lega Pro Seconda Divisione,Stadio Romeo Malservisi-Mario Matteini,10.88941669 42.94118118,http://www.usfollonicagavorrano.it/,
2632,Social Futebol Clube,Brazil,Campeonato Mineiro,Estádio Louis Ensch,-42.626389 -19.5225,http://www.socialfutebolclube.com.br/,
2633,NK Primorje,Slovenia,Slovenian Second League,Ajdovščina Football Stadium,13.8944436 45.8881692,http://www.ndprimorje.si/,
2634,Olympiakos Volou 1937 F.C.,Greece,Thessaly Football Clubs Association,Volos Municipal Stadium,22.967747 39.355461,https://www.asolympiakosvolou1937.gr/,
2635,Racing hijo de fenix,Uruguay,Uruguayan Primera División,Estadio Osvaldo Roberto,-56.216569 -34.836633,https://racingclub.com.uy/,http://commons.wikimedia.org/wiki/Special:FilePath/Racing%20Club%20Escudo.png
2636,PFC Minyor Pernik,Bulgaria,Bulgarian V AFG,Minyor Stadium,23.023333 42.606667,http://www.minyor.com,
2637,KF Besa,Kosovo,First League,Shahin Haxhiislami Stadium,20.29388889 42.65277778,http://kfbesa.com/besa.php,
2638,Paulista Futebol Clube,Brazil,Campeonato Paulista de Futebol,Estádio Jayme Cintra,-46.859281 -23.188308,http://www.paulistafutebol.com.br,
2639,Göztepe S.K.,Turkey,TFF First League,İzmir Atatürk Stadium,27.178055555 38.435,https://www.goztepe.org.tr/,
2640,K.A.S. Eupen,Belgium,Belgian First Division A,Kehrweg Stadion,6.045833 50.626389,http://as-eupen.be/,
2641,Independiente Santa Fe,Colombia,Categoría Primera A,Estadio El Campín,-74.0775 4.645888888,https://independientesantafe.com,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Independiente%20Santa%20Fe.svg
2642,Moroka Swallows F.C.,South Africa,Premier Soccer League,Dobsonville Stadium,27.864167 -26.226667,http://www.morokaswallows.co.za,
2643,Chiapas F.C.,Mexico,Liga de Ascenso,Estadio Víctor Manuel Reyna,-93.096369 16.762783,http://www.chiapasfc.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Jaguares%20de%20Chiapas%20flag.svg
2644,US Raon-l'Étape,France,Championnat National 2,Q925932,6.82942 48.4165,http://us.raon.free.fr/,http://commons.wikimedia.org/wiki/Special:FilePath/US%20Raon.png
2645,Follo FK,Norway,Norwegian Third Division,Ski Stadion,10.850768 59.718537,http://www.follofk.no/,http://commons.wikimedia.org/wiki/Special:FilePath/Follo%20FK.svg
2646,Varzim S.C.,Portugal,LigaPro,Estádio do Varzim Sport Club,-8.772575 41.38783611,https://varzim.pt/,
2647,Quimper Kerfeunteun F.C.,France,Championnat National 2,Stade de Penvillers,-4.09923 48.00892,https://www.qkfc.fr/,
2648,Marist F.C.,Solomon Islands,Solomon Islands National Club Championship,Lawson Tama Stadium,159.971389 -9.436667,http://www.maristfootball.com/,
2649,Løv-Ham Fotball,Norway,7. divisjon,Varden Amfi,5.268447 60.341544,https://lov-ham.no/,
2650,Foligno Calcio,Italy,Lega Pro Seconda Divisione,Stadio Enzo Blasone,12.691667 42.953333,http://www.folignocalcio.net/,
2651,Sporting Clube de Goa,India,Goa Professional League,Duler Stadium,73.816147 15.59849,http://www.sportingclubedegoa.com/,
2652,Mahindra United,India,National Football League,Cooperage Ground,72.828734 18.924449,http://www.mahindra.com/socialinitiatives/mahindra-united.html,
2653,MFK Frýdek-Místek,Czech Republic,Czech 2. Liga,Stovky,18.3429535 49.695697,http://www.mfkfm.cz,
2654,FK Fotbal Třinec,Czech Republic,Czech 2. Liga,Stadion Rudolfa Labaje,18.66784 49.6686,https://www.fotbaltrinec.cz/,http://commons.wikimedia.org/wiki/Special:FilePath/FK%20T%C5%99inec%20logo.svg
2655,All Stars F.C.,Ghana,Ghana Premier League,Accra Sports Stadium,-0.191944444 5.551388888,http://www.waallstars.com,
2656,FK Hvězda Cheb,Czech Republic,Divize A,Q1265230,12.37652778 50.06744167,https://hvezdacheb.cz/,
2657,Stallion–Laguna F.C.,Philippines,Philippines Football League,Biñan Football Stadium,121.07777778 14.31472222,http://stallionfcphil.com/,
2658,NK Orijent,Croatia,Treća HNL,Stadion Krimeja,14.4684263 45.3236959,https://nk-orijent.com/,
2659,Free State Stars F.C.,South Africa,Premier Soccer League,Goble Park,28.305 -28.231667,http://www.freestatestars.co.za,
2660,Lunds BK,Sweden,Swedish Football Division 1,Klostergårdens IP,13.18 55.69527778,http://www.lundsbk.se/,
2661,Portuguesa FC,Venezuela,Venezuelan Primera División,José Antonio Páez,-69.210278 9.570833,https://www.portuguesafc.com.ve/,
2662,Panetolikos F.C.,Greece,Super League Greece,Panetolikos Stadium,21.411747 38.629967,https://www.panetolikos.gr,
2663,PFC Montana,Bulgaria,Bulgarian B Professional Football Group,Ogosta Stadium,23.225278 43.398611,http://pfcmontana.bg/,
2664,CS Sănătatea Servicii Publice Cluj,Romania,Liga III,Stadionul Clujana,23.612222 46.790278,http://www.cssanatatea.ro/,
2665,Heartland F.C.,Nigeria,Nigeria Professional Football League,Dan Anyiam Stadium,7.043889 5.483889,http://www.heartlandfc.com,
2666,Frigg Oslo FK,Norway,Norwegian Second Division,Frogner stadion,10.709575 59.92701944,http://www.frigg.no/,
2667,US Quevilly,France,Championnat National,Stade Robert Diochon,1.070777714 49.411106407,https://www.qrm.fr/,
2668,Saint George SC,Ethiopia,Ethiopian Premier League,Addis Ababa Stadium,38.756417 9.013306,http://saintgeorgefc.com/,
2669,Tadamon Sour SC,Lebanon,Lebanese Premier League,Sour Stadium,35.2116 33.274816666,http://www.tadamon-sour.com/,
2670,JCT FC,India,National Football League,Guru Gobind Singh Stadium,75.581389 31.313056,http://www.jctfootball.com/,
2671,Mohammedan Sporting Club,India,I-League 2,Mohammedan Sporting Ground,88.345871 22.562342,http://www.mohammedansportingindia.com/,
2672,IK Sirius FK,Sweden,Allsvenskan,Studenternas IP,17.644444 59.85,https://www.siriusfotboll.se/,
2673,Paykan F.C.,Iran,Iran Pro League,Takhti Stadium (Tehran),51.511953 35.670127,https://www.ikcosport.com/,
2674,SK Kladno,Czech Republic,Bohemian Football League,Stadion Františka Kloze,14.090143 50.138336,http://www.skkladno.cz,http://commons.wikimedia.org/wiki/Special:FilePath/SK%20Kladno%2002.jpg
2675,HNK Orašje,Bosnia and Herzegovina,First League of the Federation of Bosnia and Herzegovina,Gradski stadion,18.687333 45.029278,http://www.hnkorasje.com/,
2676,Grêmio Esportivo Brasil,Brazil,Campeonato Brasileiro Série B,Estádio Bento Freitas,-52.3325 -31.770833,http://www.gebrasil.com.br,
2677,Wisła Płock,Poland,I liga,Kazimierz Górski Stadium,19.684067 52.562004,https://www.wisla-plock.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Wisla%20P%C5%82ock.png
2678,KF Liria,Kosovo,First League,Përparim Thaçi Stadium,20.729092 42.207037,http://www.liriafc.com/,
2679,Longford Town F.C.,Republic of Ireland,League of Ireland First Division,Flancare Park,-7.85361111 53.72416667,http://ltfc.ie/,
2680,IK Oddevold,Sweden,Swedish Football Division 1,Rimnersvallen,11.95 58.35666667,http://www.oddevold.se/,
2681,JK Tammeka Tartu,Estonia,Meistriliiga,Tamme Stadium,26.713728 58.366536,https://www.jktammeka.ee/,
2682,Gainsborough Trinity F.C.,England,National League North,The Northolme,-0.774525 53.403397,http://www.gainsboroughtrinity.tv/,
2683,Atlético Sport Aviação,Angola,Girabola,Estádio da Cidadela,13.255889 -8.827389,http://www.enyimbafc.net/,http://commons.wikimedia.org/wiki/Special:FilePath/Atletico%20Sport%20Aviacao%20Logo.svg
2684,Potros de la Universidad Autónoma del Estado de México,Mexico,Segunda División de México,Estadio Universitario Alberto Chivo Cordova,-99.676131 19.285156,http://potrosuaemfc.mx/,
2685,Estrella roja,Mexico,Ascenso MX,Villareal Anaya Stadium,-99.15246667 23.73945,http://www.cfcorrecaminos.com,
2686,SV Wilhelmshaven,Germany,Regionalliga,Jadestadion,8.098056 53.534722,http://www.svwilhelmshaven.de/,http://commons.wikimedia.org/wiki/Special:FilePath/SpVggWilhelmshaven.png
2687,KAC Kénitra,Morocco,Botola Pro 2,Stade Municipal,-6.57155 34.2527,http://www.kacfoot.ma,
2688,Ittihad Tanger,Morocco,Botola,Ibn Batouta Stadium,-5.858105 35.741211,http://irtfoot.ma/,
2689,SV Britannia,Netherlands,Aruban Division di Honor,Guillermo Prospero Trinidad Stadium,-70.023611111 12.513055555,http://www.svbritannia.com/,
2690,Paysandu S.C.,Brazil,Campeonato Brasileiro Série B,Estádio da Curuzú,-48.462958 -1.444008,http://www.paysandu.com.br,
2691,Sorrento Calcio 1945,Italy,Serie D,Stadio Italia,14.383758 40.629575,http://www.fcsorrento.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Sorrento%20Calcio.svg
2692,UB Conquense,Spain,Segunda División B,Estadio La Fuensanta,-2.140278 40.077222,http://www.ubconquense.es/,
2693,South Melbourne Football Club,Australia,Victorian Premier League,Lakeside Stadium,144.965 -37.84027778,https://www.smfc.com.au/,
2694,Kano Pillars F.C.,Nigeria,Nigeria Professional Football League,Sani Abacha Stadium,8.529167 11.999722,http://www.kanopillars.com,
2695,Shooting Stars SC,Nigeria,Nigeria Professional Football League,Lekan Salami Stadium,3.88583333 7.39638889,http://www.3sc.com.ng/,
2696,Vila Nova Futebol Clube,Brazil,Campeonato Brasileiro Série C,Estádio Serra Dourada,-49.233889 -16.698889,https://www.vilanovafc.com.br/,
2697,Hakoah Sydney City East FC,Australia,NSW State League Division Two,Hensley Athletic Field,151.223 -33.9471,https://hakoahfc.com.au/,
2698,Associação Atlética Portuguesa,Brazil,Campeonato Brasileiro Série D,Estádio Luso-Brasileiro,-43.207775 -22.801636,http://www.aaportuguesario.com.br/,http://commons.wikimedia.org/wiki/Special:FilePath/AA%20Portuguesa%20%28RJ%29.png
2699,Associação Atlética Portuguesa,Brazil,Campeonato Brasileiro Série D,Estádio Luso-Brasileiro,-43.207775 -22.801636,http://www.aaportuguesario.com.br/,http://commons.wikimedia.org/wiki/Special:FilePath/AA%20Portuguesa%20%28Santos%29.png
2700,UD Poblense,Spain,Tercera División,Q75964697,3.02004 39.760665,http://www.udpoblense.com,
2701,FC Darida Minsk Raion,Belarus,Belarusian Premier League,Dinamo-Yuni Stadium,27.416553 53.904439,http://fcdarida.ucoz.ru/,
2702,Stenungsunds IF,Sweden,Swedish Football Division 2,Nösnäsvallen,11.82382 58.05492,http://www.stenungsundsif.se/,
2703,Heidelberg United FC,Australia,Victorian Premier League,Olympic Park,145.034167 -37.739722,http://www.hufc.com.au/,
2704,FC Barcelona C,Spain,Tercera División,Mini Estadi,2.118056 41.379722,http://www.fcbarcelona.cat,
2705,JS Saint-Pierroise,France,Réunion Premier League,Stade Michel Volnay,55.46817 -21.33868,http://www.jssp.re/,
2706,Istiqlol Dushanbe,Tajikistan,Tajik League,Pamir Stadium,68.76951111 38.58590556,http://fc-istiklol.tj/,
2707,Hajer Club,Saudi Arabia,Saudi Pro League,Prince Abdullah bin Jalawi Stadium,49.612778 25.305833,https://hajerclub.net/,http://commons.wikimedia.org/wiki/Special:FilePath/Hajer%20Club%20wordmark.png
2708,AEC Manlleu,Spain,Primera Catalana,Estadi Municipal de Manlleu,2.279222222 41.997533333,http://www.aecmanlleu.com,
2709,CD Orientación Marítima,Spain,Divisiones Regionales de Fútbol in Canary Islands,Ciudad Deportiva de Lanzarote,-13.554307 28.966697,http://www.orientacionmaritima.com/,
2710,Sunset FC,United Kingdom,Cayman Islands League,T.E. McField Sports Centre,-81.3767 19.2987,http://www.sunsetfccayman.com/,
2711,Serbian White Eagles FC,Canada,Canadian Soccer League,Centennial Park Stadium,-79.5844 43.6536,http://www.serbianwhiteeagles.ca/,
2712,Larne F.C.,Northern Ireland,NIFL Premiership,Inver Park,-5.82625833 54.84980278,https://www.larnefc.com/,
2713,Liverpool F.C. Reserves and Academy,England,Professional Development League,Totally Wicked Stadium,-2.727614 53.447631,http://wwww.liverpoolfc.com/,
2714,Ballyclare Comrades F.C.,Northern Ireland,NIFL Championship,Dixon Park,-6.001942 54.750694,http://www.ballyclarecomrades.com/,
2715,Americano Futebol Clube,Brazil,Campeonato Carioca,Estádio Godofredo Cruz,-41.34083333 -21.75972222,http://www.americanofc.com.br/,http://commons.wikimedia.org/wiki/Special:FilePath/Americano%20Futebol%20Clube.png
2716,FC Rubin-2 Kazan,Russia,Russian Second League,Rubin Stadium,49.0864 55.8494,http://www.rubin-2.ru/,
2717,VSI Tampa Bay FC,United States of America,USL Championship,Plant City Stadium,-82.107911 27.99749,http://www.vsi-flames.com/index.php/usl-pro,
2718,Anagennisi Deryneia FC,Cyprus,Cypriot Second Division,Anagennisi Football Ground,33.95666 35.05307,http://www.anagennisis1920.net/,http://commons.wikimedia.org/wiki/Special:FilePath/Anagennisi%20Deryneia%20%28logo%29.svg
2719,Portland Timbers U23s,United States of America,USL League Two,Providence Park,-122.691666666 45.521388888,http://www.timbers.com/u-23s,
2720,Notodden FK,Norway,Norwegian Second Division,Notodden Stadion,9.2704 59.5703,http://www.notoddenfk.no,
2721,AJ Petite-Île,France,Réunion Premier League,Stade Raphaël Babet,55.61466 -21.37836,http://ajp.footeo.com,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AJ%20Petite-Ile.png
2722,AJ Petite-Île,France,Réunion Premier League,Stade Raphaël Babet,55.61466 -21.37836,http://ajp.footeo.com,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AJ%20Petite-Ile.png
2723,AS Mangasport,Gabon,Gabon Championnat National D1,Stade Henri-Sylvoz,13.22725 -1.559111111,http://www.as-mangasport.com/,
2724,Coquimbo Unido,Chile,Chilean Primera División,Estadio Francisco Sánchez Rumoroso,-71.338333 -29.965278,http://www.coquimbounido.cl/,
2725,Académico de Viseu FC,Portugal,LigaPro,Estádio do Fontelo,-7.90083333 40.65944444,https://academicodeviseu.pt,http://commons.wikimedia.org/wiki/Special:FilePath/AVFC.png
2726,Tempête Football Club,Haiti,Ligue Haïtienne,Parc Levelt,-72.6959 19.1081,http://www.fctempete.com,
2727,Vis Pesaro dal 1898,Italy,Serie D,Stadio Tonino Benelli,12.90554 43.89956,https://www.vispesaro1898.it,
2728,CS Mindelense,Cape Verde,Campeonato Nacional de Cabo Verde,Estádio Municipal Adérito Sena,-24.985277777 16.8825,http://www.csmindelense.com,
2729,Deportivo Azogues,Ecuador,Ecuadorian Serie A,Estadio Jorge Andrade,-78.843611111 -2.740438888,http://www.deportivoazogues.net/,
2730,Real Estelí F.C.,Nicaragua,Liga Primera,Estadio Independencia,-86.353056 13.097778,http://www.realestelifc.com,
2731,Mogi Mirim Esporte Clube,Brazil,Campeonato Brasileiro Série C,Estádio Romildo Vitor Gomes Ferreira,-46.962561 -22.439642,http://www.mogimirim.com.br/,http://commons.wikimedia.org/wiki/Special:FilePath/Mogi%20Mirim%20EC.svg
2732,RSD Alcalá,Spain,Tercera División,Q3330797,-3.34722 40.483,https://www.rsdalcala.com/,
2733,Deportivo Marquense,Guatemala,Primera División de Ascenso,Estadio Marquesa de la Ensenada,-91.7917 14.967045,http://www.deportivomarquense.com/,
2734,Marino de Luanco,Spain,Segunda División B,Estadio Municipal de Miramar,-5.80009 43.6137,http://www.clubmarinodeluanco.com/,
2735,Clube Esportivo Naviraiense,Brazil,Campeonato Sul-Mato-Grossense,Q10277034,-54.1900279 -23.0571634,http://www.soucen.net//,
2736,Benidorm CF,Spain,Segunda División B,Estadio Municipal Guillermo Amor,-0.137908 38.54741,http://www.benidormcf.com,
2737,UD Ibiza-Eivissa,Spain,Divisiones Regionales de Fútbol in Balearic Islands,Estadi Municipal de Can Misses,1.41511 38.9138,http://www.ibizaud.com,
2738,Achilles'29,Netherlands,Eerste Divisie,Q2323717,5.948889 51.782778,https://www.achilles1929.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Logoachilles29.gif
2739,Panthère du Ndé,Cameroon,Elite One,Stade Municipal de Bangangté,10.5347 5.14167,http://www.pantheredunde.com,
2740,Erzurumspor F.K.,Turkey,TFF First League,Kazım Karabekir Stadium,41.238 39.911,https://erzurumsporfk.org/,
2741,Big Bullets F.C.,Malawi,Malawi Premier Division,Kamuzu Stadium,35.0345 -15.798889,http://www.bigbulletsfc.com/,
2742,FC Hlučín,Czech Republic,Moravian-Silesian Football League,Q12039421,18.1953 49.8991,http://fchlucin.cz/,
2743,FC Delta Tulcea,Romania,Liga III,Stadionul Delta,28.779722 45.1825,http://www.delta-tulcea.ro/,
2744,Honda FC,Japan,Japan Football League,Honda Miyakoda Soccer Stadium,137.722389 34.810639,http://www.honda-fc.gr.jp,
2745,Unión Magdalena,Colombia,Categoría Primera B,Estadio Sierra Nevada,-74.19916667 11.19069444,https://www.unionmagdalenasa.com/,
2746,Sanat Naft F.C.,Iran,Iran Pro League,Takhti Stadium,48.292222 30.339444,https://www.sanatenaft.com/,
2747,FC Lori Vanadzor,Armenia,Armenian Premier League,Lori Stadium,44.493889 40.797222,http://fclori.am/,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%AD%D0%BC%D0%B1%D0%BB%D0%B5%D0%BC%D0%B0%20%D0%A4%D0%9A%20%22%D0%9B%D0%BE%D1%80%D0%B8%22.gif
2748,PFC Rilski Sportist Samokov,Bulgaria,Bulgarian V AFG,Iskar Stadium,23.55916667 42.32222222,http://rilskisportist.com/,
2749,FC Hirnyk-Sport Horishni Plavni,Ukraine,Ukrainian Second League,Yunist Stadium,33.6481 49.0042,https://gornyak-sport.net,
2750,FC Shakhtar-3 Donetsk,Ukraine,Ukrainian Second League,Kirsha Training Centre,37.7456 47.9349,http://academy.shakhtar.com/en/team/u19/,
2751,FC Sumy,Ukraine,Ukrainian Second League,Yuvileiny Stadium,34.799722 50.902222,http://fc.sumy.ua/,http://commons.wikimedia.org/wiki/Special:FilePath/Pfcsumy%20embl.png
2752,Alashkert FC,Armenia,Armenian Premier League,Alashkert Stadium,44.475231 40.154605,http://fcalashkert.am/,
2753,Joinville Esporte Clube,Brazil,Campeonato Brasileiro Série A,Arena Joinville,-48.833611 -26.316667,http://www.jec.com.br/,
2754,Young Lions,Singapore,S.League,Jalan Besar Stadium,103.860347 1.310016,http://www.courtsyounglions.com/,
2755,FC Elektrometalurh-NZF Nikopol,Ukraine,Football Federation of Dnipropetrovsk Oblast,Elektrometalurh Stadium,34.39263611 47.56237778,http://www.metallurg.at.ua/,
2756,FC Polissya Zhytomyr,Ukraine,Ukrainian First League,Central Stadium (Zhytomyr),28.6689 50.2461,https://polissyafc.com,
2757,Thanda Royal Zulu F.C.,South Africa,National First Division,Richards Bay Stadium,32.055874 -28.743392,http://www.thandarzfc.co.za,
2758,Chester F.C.,England,National League North,Deva Stadium,-2.923814 53.189181,http://www.chesterfc.com/,
2759,Wellington United,New Zealand,Central Premier League,Newtown Park,174.7825 -41.320278,http://www.wuafc.wellington.net.nz/,
2760,La Roche VF,France,Championnat National 3,Stade Henri Desgrange,-1.44065 46.67131,http://www.lrvf.com,
2761,Sri Pahang F.C.,Malaysia,Malaysia Super League,Darul Makmur Stadium,103.323888888 3.814722222,http://www.pahangfa.com.my,
2762,Hong Kong Rangers FC,People's Republic of China,Hong Kong Premier League,Sham Shui Po Sports Ground,114.152 22.3371,http://www.hkrangers.com,
2763,Sandefjord BK,Norway,Norwegian Fourth Division,Storstadion,10.1905 59.1328,https://www.ballklubben.no/,
2764,Club Mutual Crucero del Norte,Argentina,Torneo Federal A,Estadio Comandante Andrés Guacurarí,-55.852222 -27.498611,http://www.clubcrucerodelnorte.com.ar/,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Club%20Mutual%20Crucero%20del%20Norte.svg
2765,Club Atlético Colegiales,Argentina,Primera B Metropolitana,Estadio Libertarios Unidos,-58.5257 -34.5381,http://cacolegiales.com.ar/,http://commons.wikimedia.org/wiki/Special:FilePath/Colegiales%20arg%20logo.png
2766,San Francisco F.C.,Panama,Liga Panameña de Fútbol,Estadio Agustín Sánchez,-79.775556 8.8875,http://www.sanfranciscofc.com/index.php,
2767,U.D. Oliveirense,Portugal,LigaPro,Estádio Carlos Osório,-8.4703 40.8419,https://udoliveirense.pt/,
2768,R.O.C. de Charleroi-Marchienne,Belgium,Belgian Promotion B,Stade de la Neuville,4.456877 50.408524,http://www.olympic-charleroi.be,
2769,Woodlands Wellington FC,Singapore,S.League,Woodlands Stadium,103.780788 1.434591,http://www.wwfc.org.sg/,
2770,FC Dnipro Dnipropetrovsk Reserves and Youth Team,Ukraine,Ukrainian Second League,Stadium Meteor,35.005556 48.435556,http://www.fcdnipro.ua/,
2771,Payam Mashhad F.C.,Iran,Iran Football's 2nd Division,Takhti Stadium (Mashhad),59.59036389 36.3007,http://payamtoos.com,
2772,FC Makiyivvuhillya Makiyivka,Ukraine,Ukrainian Second League,Elektrometalurh Stadium,34.39263611 47.56237778,https://fcnikopol.com.ua,http://commons.wikimedia.org/wiki/Special:FilePath/Nikopol-logo.jpg
2773,Club Atlético Ituzaingó,Argentina,Primera B Metropolitana,Estadio Carlos Alberto Sacaan,-58.6639 -34.6656,http://www.caituzaingo.com.ar/,
2774,FCM Aubervilliers,France,Championnat National 2,Q23902366,2.3834 48.90911,http://www.fcmaubervilliers.com/,
2775,Al Mokawloon Al Arab SC,Egypt,Egyptian Professional League,Arab Contractors Stadium,31.297 30.0512,http://www.arabcontclub.com/,
2776,Atlético Clube Coríntians,Brazil,Campeonato Potiguar,Q9255537,-37.083333 -6.439167,http://corintiansdecaico.com/,
2777,FC Avanhard Kramatorsk,Ukraine,Ukrainian First League,Avanhard Stadium,37.5493 48.7189,http://fc-avangard.com.ua/,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Avangard%20Kramatorsk%20Logo.svg
2778,Al-Fujairah FC,United Arab Emirates,UAE Division 1 Group A,Fujairah Club Stadium,56.343480555 25.130122222,http://www.fujfc.com/,
2779,FC Stal Alchevsk,Ukraine,Ukrainian First League,Stal Stadium,38.797778 48.474167,http://www.fcstal.lg.ua/,
2780,Al Ittihad Alexandria Club,Egypt,Egyptian Professional League,Alexandria Stadium,29.9132 31.1971,http://www.itthadclub.com,
2781,CD Marino,Spain,Segunda División B,Antonio Domíngez Alfonso Olympic Stadium,-16.726111111 28.059722222,http://clubdeportivomarino.es/,
2782,Wigry Suwałki,Poland,I liga,"Municipal Stadium, Suwałki",22.9157 54.0944,http://wigrysuwalki.eu/,
2783,Ethnikos Assia F.C.,Cyprus,Cypriot Third Division,Makario Stadium,33.314444 35.146111,http://ethnikosassias.blogspot.com/,
2784,Kettering Town F.C.,England,Southern Football League,Nene Park,-0.599992 52.328033,https://www.ketteringtownfc.com/,
2785,Simba S.C.,Tanzania,Tanzanian Premier League,Benjamin Mkapa National Stadium,39.273811 -6.8535,http://www.simba.co.tz/,
2786,Besançon R.C.,France,Championnat National,Léo Lagrange stadium,6.0031 47.24391,http://www.racingbesancon.fr,
2787,Merthyr Tydfil F.C.,England,Southern League Premier Division,Penydarren Park,-3.377778 51.751111,http://www.pitchero.com/clubs/merthyrtown/,
2788,Cavese 1919,Italy,Serie C,Stadio Simonetta Lamberti,14.7025 40.709722,http://www.cavese1919.it/,
2789,Jomo Cosmos F.C.,South Africa,National First Division,Johannesburg Stadium,28.062513888 -26.193822222,http://www.jomocosmos.co.za,
2790,PFC Marek Dupnitsa,Bulgaria,Bulgarian V AFG,Bonchuk Stadium,23.135556 42.275556,http://www.pfcmarek.com/,
2791,Thrasyvoulos F.C.,Greece,Football League (Greece),Fyli Municipal Stadium,23.651244 38.096319,http://www.thrasivoulos.gr/,
2792,Lamontville Golden Arrows F.C.,South Africa,Premier Soccer League,King Zwelithini Stadium,30.9 -29.971389,http://www.goldenarrowsfc.com,
2793,Gap Connah's Quay F.C.,Wales,Welsh Premier League,Deeside Stadium,-3.076504 53.225338,https://www.the-nomads.co.uk/,
2794,Muangthong United F.C.,Thailand,Thai League 1,Thunderdome Stadium,100.547411 13.917989,http://www.mtutd.tv/,
2795,Police United F.C.,Thailand,Thai League 1,Thammasat Stadium,100.598611 14.067778,http://www.policefc.com,
2796,Hutteen SC,Syria,Syrian Premier League,Latakia Sports City Stadium,35.74472222 35.56055556,http://www.hutteensc.com/,
2797,Goiânia Esporte Clube,Brazil,Campeonato Brasileiro Série A,Estádio Olímpico Pedro Ludovico,-49.2625 -16.670833,http://www.goianiaesporteclube.com.br/,http://commons.wikimedia.org/wiki/Special:FilePath/Goiania%20EC.svg
2798,Tampines Rovers FC,Singapore,S.League,Clementi Stadium,103.763015 1.309845,http://tampinesroversfc.com/,
2799,Waitakere City F.C.,New Zealand,Northern League,Fred Taylor Park,174.596 -36.8001,http://www.waitakerecityfc.org.nz/,
2800,Gombak United FC,Singapore,S.League,Jurong West Stadium,103.694123 1.338309,http://www.gombakunited.com/,
