,club,country,league,venue,coordinates,website,logoImage
116,Sheffield United F.C.,England,EFL Championship,Bramall Lane,-1.470833333 53.370277777,https://www.sufc.co.uk/,
117,Preston North End F.C.,England,EFL Championship,Deepdale,-2.688055555 53.772222222,https://www.pnefc.net/,
118,Scunthorpe United F.C.,England,EFL League One,Glanford Park,-0.69525 53.586722,https://www.scunthorpe-united.co.uk/,
119,Shrewsbury Town F.C.,England,EFL League One,New Meadow,-2.74933 52.68863,https://www.shrewsburytown.com/,
120,Swindon Town F.C.,England,EFL League Two,"County Ground, Swindon",-1.770556 51.564444,https://www.swindontownfc.co.uk/,
121,Tranmere Rovers F.C.,England,EFL League One,Prenton Park,-3.0325 53.373722,https://www.tranmererovers.co.uk/,
122,Walsall F.C.,England,EFL League One,Bescot Stadium,-1.990706 52.565433,https://www.saddlers.co.uk/,
123,Yeovil Town F.C.,England,EFL League One,Huish Park,-2.674881 50.950278,https://www.ytfc.net/,
124,TSG 1899 Hoffenheim,Germany,Bundesliga,Prezero-Arena,8.888278 49.239,https://www.achtzehn99.de/,http://commons.wikimedia.org/wiki/Special:FilePath/TSG%20Logo-Standard%204c.png
125,Rakvere JK Tarvas,Estonia,Esiliiga,Rakvere Linnastaadion,26.380833 59.359444,http://jktarvas.ee/,
126,FC Utrecht,Netherlands,Eredivisie,Stadion Galgenwaard,5.145833333 52.078333333,https://www.fcutrecht.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Utrecht.svg
127,VVV-Venlo,Netherlands,Eerste Divisie,De Koel,6.179722 51.351944,https://www.vvv-venlo.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/VVV%20Venlo.svg
128,RKC Waalwijk,Netherlands,Eredivisie,Mandemakers Stadion,5.088611 51.686944,https://www.rkcwaalwijk.nl/,
129,FC Groningen,Netherlands,Eredivisie,Euroborg,6.591388888 53.206111111,https://www.fcgroningen.nl/,
130,Roda JC Kerkrade,Netherlands,Eerste Divisie,Parkstad Limburg Stadion,6.005833333 50.856944444,https://www.rodajckerkrade.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Roda%20JC%20Kerkrade.svg
131,ADO Den Haag,Netherlands,Eerste Divisie,Bingoal Stadion,4.383056 52.062778,https://adodenhaag.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20ADO%20Den%20Haag%20on%20a%20poster%20%2817058468161%29.jpg
132,FK Radnik Bijeljina,Bosnia and Herzegovina,First League of the Republika Srpska,Bijeljina City Stadium,19.225 44.75444444,http://www.fkradnik.ba/,
133,FC Kuban Krasnodar,Russia,Russian First League,Kuban Stadium,38.999444444 45.025277777,https://www.fckuban.com/,
134,FC Zenit Saint Petersburg,Russia,Russian Premier League,Gazprom Arena,30.220533 59.972953,https://fc-zenit.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Zenit%201%20star%202015%20logo.svg
135,Spartak Moscow,Russia,Russian Premier League,Otkrytie Bank Arena,37.4403 55.8178,https://spartak.com/,
136,FC Lokomotiv Moscow,Russia,Russian Premier League,RZD Arena,37.741169 55.80355,https://www.fclm.ru,
137,A.C.R. Messina,Italy,Serie C,Stadio San Filippo,15.520833 38.161389,https://www.acrmessina1900.it/,http://commons.wikimedia.org/wiki/Special:FilePath/ACRMessina.png
138,Taranto Sport,Italy,Serie D,Stadio Erasmo Iacovone,17.27 40.452778,https://www.tarantofootballclub.it/,
139,NK Aluminij,Slovenia,Slovenian Second League,Kidričevo Sports Park,15.7897 46.4078,http://www.nkaluminij.net/,
140,NK Celje,Slovenia,Slovenian PrvaLiga,Stadion Z'dežele,15.270278 46.246667,https://www.nk-celje.si/,
141,Sepahan F.C.,Iran,Iran Pro League,Naghsh-e-Jahan Stadium,51.686203 32.743267,https://sepahansc.ir/,
142,Feralpisalò,Italy,Serie C,Stadio Lino Turina,10.5128 45.6039,https://www.feralpisalo.it/,
143,NK Olimpija Ljubljana,Slovenia,Slovenian PrvaLiga,Stožice Stadium,14.521389 46.081111,https://www.nkolimpija.si/,
144,Tractor S.C.,Iran,Iran Pro League,Yadegar-e Emam Stadium,46.295833 38.026667,https://www.tractor-club.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Tractor-logo.svg
145,UCAM Murcia CF,Spain,4th Division,Q5847924,-1.19333 37.9217,http://www.ucamdeportes.com/ucamcf/,
146,FC Schalke 04,Germany,Bundesliga,Veltins-Arena,7.067588888 51.554502777,https://schalke04.de/,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Schalke%2004%20Logo.svg
147,Marsa FC,Malta,Maltese Third Division,Ta' Qali National Stadium,14.415372222 35.894863888,http://www.marsafc.tk/,
148,Hannover 96,Germany,2. Bundesliga,Niedersachsenstadion,9.731111 52.36,https://www.hannover96.de,http://commons.wikimedia.org/wiki/Special:FilePath/Hannover%2096%20Logo.svg
149,KS Dinamo Tirana,Albania,Albanian First Division,Qemal Stafa Stadium,19.824075 41.318314,http://www.dinamo.al/,
150,S.C. Corinthians Paulista,Brazil,Campeonato Brasileiro Série A,Neo Química Arena,-46.474 -23.545555555,https://www.corinthians.com.br/,
151,FC Mordovia Saransk,Russia,Russian First League,Start Stadium,45.192175 54.17583611,http://www.fc-mordovia.ru,
152,FK Pelister,North Macedonia,Macedonian Second Football League,Stadion Tumbe Kafe,21.338889 41.018056,https://fkpelister.mk/,
153,FC Dordoi Bishkek,Kyrgyzstan,Kyrgyzstan League,Spartak Stadium,74.59793889 42.880175,http://www.fc-dordoi.com/,
154,São Paulo FC,Brazil,Campeonato Brasileiro,Estádio do Morumbi,-46.720155555 -23.600125,http://www.saopaulofc.net/,http://commons.wikimedia.org/wiki/Special:FilePath/Brasao%20do%20Sao%20Paulo%20Futebol%20Clube.svg
155,FC Torpedo Kutaisi,Georgia,Erovnuli Liga,Ramaz Shengelia Stadium,42.683086111 42.255141666,https://fctorpedokutaisi.com/,
156,FC Zlín,Czech Republic,Czech First League,Letná Stadion,17.669425 49.231311,https://www.fctrinityzlin.cz/,
157,NK Čelik Zenica,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Bilino Polje Stadium,17.907083 44.20575,https://nkcelik.ba/,
158,FC Petržalka,Slovakia,2. Liga,Stadium FC Petržalka 1898,17.133333333 48.119722222,http://www.fcpetrzalka1898.sk/,
159,Borussia Dortmund,Germany,Bundesliga,Westfalenstadion,7.451667 51.4925,https://www.bvb.de/,http://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20Dortmund%20logo.svg
160,FC Emmenbrücke,Switzerland,Swiss 1. Liga,Stadion Gersag,8.283611 47.079722,http://www.fce1921.ch/,
161,FC Shinnik Yaroslavl,Russia,Russian First League,Shinnik Stadium,39.867486 57.628729,http://www.shinnik.com,
162,Antalyaspor,Turkey,Turkish Süper Lig,Akdeniz University Stadium,30.646666666 36.893611111,http://www.antalyaspor.com.tr,
163,FC Chornomorets Odesa,Ukraine,Premier League,Spartak Stadium,30.748444 46.468389,https://chornomorets.football,
164,NK Rudar Velenje,Slovenia,Slovenian Second League,Ob Jezeru City Stadium,15.104184 46.372931,http://nkrudarvelenje.com,
165,FC Koper,Slovenia,Slovenian PrvaLiga,Bonifika Stadium,13.730453 45.542356,http://www.fckoper.si,
166,ND Mura 05,Slovenia,Slovenian PrvaLiga,Fazanerija City Stadium,16.1575 46.668611,http://www.mura05.si/welcome/,
167,NK Triglav Kranj,Slovenia,Slovenian Second League,Stanko Mlakar Stadium,14.364914 46.251731,https://www.nktriglav.si/,
168,Al Ahli Saudi FC,Saudi Arabia,Saudi Pro League,King Abdullah Sports City,39.165096 21.762627,https://www.alahlifc.sa/,
169,ES Tunis,Tunisia,Tunisian Ligue Professionnelle 1,Olympic Stadium of Radès,10.272777777 36.747777777,http://www.est.org.tn/,
170,FK Daugava (2003),Latvia,Latvian Higher League,Daugava Stadium,24.15886111 56.95516667,http://www.daugavariga.com/,
171,Once Caldas,Colombia,Categoría Primera A,Estadio Palogrande,-75.489807 5.056233,http://www.oncecaldas.com.co/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Once%20Caldas.png
172,Torquay United F.C.,England,National League,Plainmoor,-3.523825 50.476408,https://torquayunited.com/,
173,Accrington Stanley F.C.,England,EFL League Two,Crown Ground,-2.370911 53.765356,https://www.accringtonstanley.co.uk/,
174,AFC Wimbledon,England,EFL League Two,Plough Lane,-0.186669444 51.431363888,https://www.afcwimbledon.co.uk/,
175,Aldershot Town F.C.,England,EFL League Two,Recreation Ground,-0.754789 51.248386,https://www.theshots.co.uk/,
176,Bradford City A.F.C.,England,EFL League Two,Valley Parade,-1.759022222 53.804222222,https://www.bradfordcityfc.co.uk/,
177,F.C. Lorient,France,Ligue 1,Stade du Moustoir,-3.36929 47.74869,http://www.fclweb.fr,http://commons.wikimedia.org/wiki/Special:FilePath/Lorientfc.jpg
178,Bristol Rovers F.C.,England,EFL League One,Memorial Stadium,-2.58313 51.4862,https://www.bristolrovers.co.uk/,
179,Burton Albion F.C.,England,EFL Championship,Pirelli Stadium,-1.626958 52.821906,https://www.burtonalbionfc.co.uk/,
180,Cheltenham Town F.C.,England,EFL League Two,Whaddon Road,-2.060211 51.906158,https://www.ctfc.com/,
181,Chesterfield F.C.,England,EFL League One,Proact Stadium,-1.427203 53.253442,http://www.chesterfield-fc.co.uk,
